name,street,subarea,area,city,province,Address
Quetta Al Hammas Hotel,Shahrah E Azeem Ahmad Khan,Block 13,Federal B Area (Gulberg),Karachi,Sindh,Quetta Al Hammas Hotel Shahrah E Azeem Ahmad Khan Block 13 Federal B Area (Gulberg) Karachi Sindh
Al Rehman Traders & General Store,Ancholi Main Road,Block 17,Federal B Area (Gulberg),Karachi,Sindh,Al Rehman Traders & General Store Ancholi Main Road Block 17 Federal B Area (Gulberg) Karachi Sindh
Mashallah Chicken Center,Khursheed Begum Road,Saudabad S1,Saudabad,Karachi,Sindh,Mashallah Chicken Center Khursheed Begum Road Saudabad S1 Saudabad Karachi Sindh
Saint Dominics High School,Malir City Road,Darakhshan CHS,Kala Board,Karachi,Sindh,Saint Dominics High School Malir City Road Darakhshan CHS Kala Board Karachi Sindh
Al Tayyab Drink Water,Muhammad Abdullah Naeemi Road,F South,Jafar e Tayyar,Karachi,Sindh,Al Tayyab Drink Water Muhammad Abdullah Naeemi Road F South Jafar e Tayyar Karachi Sindh
Bismillah General Store,Gulshan e Harooni Street,Saudabad S1,Saudabad,Karachi,Sindh,Bismillah General Store Gulshan e Harooni Street Saudabad S1 Saudabad Karachi Sindh
Shamim Plaza,Shahrah e Humayun,Block 3,Federal B Area (Gulberg),Karachi,Sindh,Shamim Plaza Shahrah e Humayun Block 3 Federal B Area (Gulberg) Karachi Sindh
Khurram Electronics,Ghaus Al Azam Road,Sector 15 A 1,Buffer Zone,Karachi,Sindh,Khurram Electronics Ghaus Al Azam Road Sector 15 A 1 Buffer Zone Karachi Sindh
Khubsurat General Store,Shahrah e Zahid,Sector 15 A 4,Buffer Zone,Karachi,Sindh,Khubsurat General Store Shahrah e Zahid Sector 15 A 4 Buffer Zone Karachi Sindh
Al Mansoor Autos,Muhammad Hassan Road,Block N,North Nazimabad,Karachi,Sindh,Al Mansoor Autos Muhammad Hassan Road Block N North Nazimabad Karachi Sindh
Ghulam e Rasool General Store,Maarif Street,Block H,North Nazimabad,Karachi,Sindh,Ghulam e Rasool General Store Maarif Street Block H North Nazimabad Karachi Sindh
Sheikh Chilli Restaurant,Tariq Bin Ziyad Road,Block G,North Nazimabad,Karachi,Sindh,Sheikh Chilli Restaurant Tariq Bin Ziyad Road Block G North Nazimabad Karachi Sindh
Barkat General Store,Qari Zaheer Qasmi Road,Block G,North Nazimabad,Karachi,Sindh,Barkat General Store Qari Zaheer Qasmi Road Block G North Nazimabad Karachi Sindh
Exide Battery Center,Zafar Iqbal Shaheed Road,Block 9,Federal B Area (Gulberg),Karachi,Sindh,Exide Battery Center Zafar Iqbal Shaheed Road Block 9 Federal B Area (Gulberg) Karachi Sindh
Noorani Rice,49th Street,Block 3,Federal B Area (Gulberg),Karachi,Sindh,Noorani Rice 49th Street Block 3 Federal B Area (Gulberg) Karachi Sindh
Al Hamd Collegiate Coaching,Landhi Road,Sector 33 A,Korangi,Karachi,Sindh,Al Hamd Collegiate Coaching Landhi Road Sector 33 A Korangi Karachi Sindh
Agawam Autos & Spare Parts,Korangi Road,Bhittai Colony,Korangi Creek,Karachi,Sindh,Agawam Autos & Spare Parts Korangi Road Bhittai Colony Korangi Creek Karachi Sindh
Asif Autos,Nasir Jump Road,Sector 32 D,Korangi,Karachi,Sindh,Asif Autos Nasir Jump Road Sector 32 D Korangi Karachi Sindh
Ali Autos Exchange Bike Installment,Qabristan Road,Hasrat Mohani Colony,Korangi,Karachi,Sindh,Ali Autos Exchange Bike Installment Qabristan Road Hasrat Mohani Colony Korangi Karachi Sindh
Shabbir Estate Agency,Qabristan Road,Sector 43 A,Korangi,Karachi,Sindh,Shabbir Estate Agency Qabristan Road Sector 43 A Korangi Karachi Sindh
Ghausia Photostat,Baqai Medical University Road,Nazimabad No 2,Nazimabad,Karachi,Sindh,Ghausia Photostat Baqai Medical University Road Nazimabad No 2 Nazimabad Karachi Sindh
Sabri Tailors,Tabish Dehalvi Road,Nazimabad No 5,Nazimabad,Karachi,Sindh,Sabri Tailors Tabish Dehalvi Road Nazimabad No 5 Nazimabad Karachi Sindh
Rent A Car,Jauhar Road,Block 20,Gulistan e Jauhar,Karachi,Sindh,Rent A Car Jauhar Road Block 20 Gulistan e Jauhar Karachi Sindh
Southampton Boys & Girls School,B Street,Block 4,Clifton,Karachi,Sindh,Southampton Boys & Girls School B Street Block 4 Clifton Karachi Sindh
Al Shifa Clinic,Abbasia Masjid Road,Colony 4,Shah Faisal Town,Karachi,Sindh,Al Shifa Clinic Abbasia Masjid Road Colony 4 Shah Faisal Town Karachi Sindh
Qadri General Store,Sindh Hotel Road,Sector 5 J,New Karachi,Karachi,Sindh,Qadri General Store Sindh Hotel Road Sector 5 J New Karachi Karachi Sindh
Date Palm Educ. System School,Dr Adeeb Rizvi Road,Block A,North Nazimabad,Karachi,Sindh,Date Palm Educ. System School Dr Adeeb Rizvi Road Block A North Nazimabad Karachi Sindh
Kamran Public School,Shahrah e Humayun,Block 4,Federal B Area (Gulberg),Karachi,Sindh,Kamran Public School Shahrah e Humayun Block 4 Federal B Area (Gulberg) Karachi Sindh
Invest & Finance Securities,Olympian Iftikhar Syed Road,Block 6,Gulshan e Iqbal,Karachi,Sindh,Invest & Finance Securities Olympian Iftikhar Syed Road Block 6 Gulshan e Iqbal Karachi Sindh
Qadeer Pakwan Center & Bar B Q,Naseer Hussain Road,Sector 5 A 1,New Karachi,Karachi,Sindh,Qadeer Pakwan Center & Bar B Q Naseer Hussain Road Sector 5 A 1 New Karachi Karachi Sindh
Younus Terrace,Anum Uzair Shaheed Road,Block 13 B,Gulshan e Iqbal,Karachi,Sindh,Younus Terrace Anum Uzair Shaheed Road Block 13 B Gulshan e Iqbal Karachi Sindh
Oracle Ora Tech,Shahrah e Faisal,Block A,Sindhi Muslim CHS (SMCHS),Karachi,Sindh,Oracle Ora Tech Shahrah e Faisal Block A Sindhi Muslim CHS (SMCHS) Karachi Sindh
Masjid Fahim,Abdullah Ahmed Road,Block 13 D 2,Gulshan e Iqbal,Karachi,Sindh,Masjid Fahim Abdullah Ahmed Road Block 13 D 2 Gulshan e Iqbal Karachi Sindh
Amina Manzil,41st Street,Block 3,Federal B Area (Gulberg),Karachi,Sindh,Amina Manzil 41st Street Block 3 Federal B Area (Gulberg) Karachi Sindh
Masjid Wasti,Qadri Ahmed Siddiqui Road,Nazimabad No 4,Nazimabad,Karachi,Sindh,Masjid Wasti Qadri Ahmed Siddiqui Road Nazimabad No 4 Nazimabad Karachi Sindh
Aleena Shoes,Sir Syed Ahmed Road,Block G,North Nazimabad,Karachi,Sindh,Aleena Shoes Sir Syed Ahmed Road Block G North Nazimabad Karachi Sindh
Eye Master,Khayaban e Iqbal,Block 8,Clifton,Karachi,Sindh,Eye Master Khayaban e Iqbal Block 8 Clifton Karachi Sindh
CPLC NC Office,Mian Muhammad Rafi Road,Block B Shabbirabad Society,Shabbirabad,Karachi,Sindh,CPLC NC Office Mian Muhammad Rafi Road Block B Shabbirabad Society Shabbirabad Karachi Sindh
Dawlance Outlet,Sardar Yaseen Malik Road,Block E,North Nazimabad,Karachi,Sindh,Dawlance Outlet Sardar Yaseen Malik Road Block E North Nazimabad Karachi Sindh
ATM UBL,Syed M Burhan Uddin Road,Block E,North Nazimabad,Karachi,Sindh,ATM UBL Syed M Burhan Uddin Road Block E North Nazimabad Karachi Sindh
SS Oil Shop,Main Korangi Industrial Road,Sector 21,Landhi,Karachi,Sindh,SS Oil Shop Main Korangi Industrial Road Sector 21 Landhi Karachi Sindh
Xpress Money,Main Korangi Industrial Road,Sector 23,Korangi Industrial Area,Karachi,Sindh,Xpress Money Main Korangi Industrial Road Sector 23 Korangi Industrial Area Karachi Sindh
Refreshment Bar,Muslim Commercial Street No 2,Phase 6,DHA,Karachi,Sindh,Refreshment Bar Muslim Commercial Street No 2 Phase 6 DHA Karachi Sindh
Aman Kitchen War,Jauhar Chowrangi Road,Block 17,Gulistan e Jauhar,Karachi,Sindh,Aman Kitchen War Jauhar Chowrangi Road Block 17 Gulistan e Jauhar Karachi Sindh
S Shahab Burger Juice & Ice Cream,Nipa Interchange,Block 6,Gulshan e Iqbal,Karachi,Sindh,S Shahab Burger Juice & Ice Cream Nipa Interchange Block 6 Gulshan e Iqbal Karachi Sindh
Kichmich BBQ & Fast Food,Jauhar Road,Block 17,Gulistan e Jauhar,Karachi,Sindh,Kichmich BBQ & Fast Food Jauhar Road Block 17 Gulistan e Jauhar Karachi Sindh
Asian Agencies,Jauhar Road,Block 15,Gulistan e Jauhar,Karachi,Sindh,Asian Agencies Jauhar Road Block 15 Gulistan e Jauhar Karachi Sindh
Hajveri Gem,Sunar Gali,Block 2,PECHS,Karachi,Sindh,Hajveri Gem Sunar Gali Block 2 PECHS Karachi Sindh
Zaibi Ladies Dress,Tariq Road,Block 2,PECHS,Karachi,Sindh,Zaibi Ladies Dress Tariq Road Block 2 PECHS Karachi Sindh
Shahnawaz Autos,Sunar Gali,Block 2,PECHS,Karachi,Sindh,Shahnawaz Autos Sunar Gali Block 2 PECHS Karachi Sindh
Murshid & Sons Autos,Khushal Road,Block 2,PECHS,Karachi,Sindh,Murshid & Sons Autos Khushal Road Block 2 PECHS Karachi Sindh
Fakhri Traders,Badar Commercial Street No 7,Phase 5,DHA,Karachi,Sindh,Fakhri Traders Badar Commercial Street No 7 Phase 5 DHA Karachi Sindh
Tohfa E Shireen,Allama Shabbir Ahmed Usmani Road,Block 4,Gulshan e Iqbal,Karachi,Sindh,Tohfa E Shireen Allama Shabbir Ahmed Usmani Road Block 4 Gulshan e Iqbal Karachi Sindh
Bismillah Dairy Farm,Naqash Kazmi Road,Block 4,Gulshan e Iqbal,Karachi,Sindh,Bismillah Dairy Farm Naqash Kazmi Road Block 4 Gulshan e Iqbal Karachi Sindh
Samsung Single Electronics,Shahjahan Avenue,Sector 15 A 1,Buffer Zone,Karachi,Sindh,Samsung Single Electronics Shahjahan Avenue Sector 15 A 1 Buffer Zone Karachi Sindh
Di Autos,Olympian Islahuddin Road,Block 7,Gulshan e Iqbal,Karachi,Sindh,Di Autos Olympian Islahuddin Road Block 7 Gulshan e Iqbal Karachi Sindh
Malik Fahad Hair Salon,Muhammad Hussain Khan Road,Block 6,Gulshan e Iqbal,Karachi,Sindh,Malik Fahad Hair Salon Muhammad Hussain Khan Road Block 6 Gulshan e Iqbal Karachi Sindh
3 Star Rice General & Medical Store,Shahrah E Al Quds,Block 2,Gulshan e Iqbal,Karachi,Sindh,3 Star Rice General & Medical Store Shahrah E Al Quds Block 2 Gulshan e Iqbal Karachi Sindh
Ajmeri Catering & Event Planer,Old Jamia Millia Road,Bagh e Ibrahim Society,Shah Faisal Town,Karachi,Sindh,Ajmeri Catering & Event Planer Old Jamia Millia Road Bagh e Ibrahim Society Shah Faisal Town Karachi Sindh
Al Habib Marbles Shop,Shahrah e Usman,Sector 5 B 2,New Karachi,Karachi,Sindh,Al Habib Marbles Shop Shahrah e Usman Sector 5 B 2 New Karachi Karachi Sindh
Al Hamd Light & Echo Sound,Shahrah e Maulana Muhammad Ali Jauhar,Sector 5 L,New Karachi,Karachi,Sindh,Al Hamd Light & Echo Sound Shahrah e Maulana Muhammad Ali Jauhar Sector 5 L New Karachi Karachi Sindh
Al Hamra Autos,Street Number 4,Sector 11 E,Muhammad Nagar,Karachi,Sindh,Al Hamra Autos Street Number 4 Sector 11 E Muhammad Nagar Karachi Sindh
Al Madina Oil & Tyre Puncture Shop,Allah Wala Town Road,Allahwala Town,Korangi,Karachi,Sindh,Al Madina Oil & Tyre Puncture Shop Allah Wala Town Road Allahwala Town Korangi Karachi Sindh
Al Makkah Jump Maker,Landhi Road,Chakra Goth,Korangi,Karachi,Sindh,Al Makkah Jump Maker Landhi Road Chakra Goth Korangi Karachi Sindh
Al Rehman Autos,Pehlwan Goth Road,Block 9,Gulistan e Jauhar,Karachi,Sindh,Al Rehman Autos Pehlwan Goth Road Block 9 Gulistan e Jauhar Karachi Sindh
Al Yasir General Store,Kalyana Town Road,Sector 10,North Karachi,Karachi,Sindh,Al Yasir General Store Kalyana Town Road Sector 10 North Karachi Karachi Sindh
Aslam Autos,Bearing Street,C Area,Liaquatabad,Karachi,Sindh,Aslam Autos Bearing Street C Area Liaquatabad Karachi Sindh
ATM Bank Alfalah,University Road,Block 13 B,Gulshan e Iqbal,Karachi,Sindh,ATM Bank Alfalah University Road Block 13 B Gulshan e Iqbal Karachi Sindh
Azhar Autos,Hakeem Ibn e Sina Road,Nazimabad No 3,Nazimabad,Karachi,Sindh,Azhar Autos Hakeem Ibn e Sina Road Nazimabad No 3 Nazimabad Karachi Sindh
Bismillah Autos,Shahrah e Orangi,Raees Amrohi Colony,Chishti Nagar,Karachi,Sindh,Bismillah Autos Shahrah e Orangi Raees Amrohi Colony Chishti Nagar Karachi Sindh
Bismillah Lace & Zari House,Golden Town Road,Golden Town,Shah Faisal Town,Karachi,Sindh,Bismillah Lace & Zari House Golden Town Road Golden Town Shah Faisal Town Karachi Sindh
Bismillah General Store,Service Road,Sector 11 B,North Karachi,Karachi,Sindh,Bismillah General Store Service Road Sector 11 B North Karachi Karachi Sindh
Bismillah Photo Copy,Jamia Millia Road,Gulshan e Rafi,Shah Faisal Town,Karachi,Sindh,Bismillah Photo Copy Jamia Millia Road Gulshan e Rafi Shah Faisal Town Karachi Sindh
Brights Pink Rose Beauty Parlour,Anda Mor Road,Sector 14 B,Shadman Town,Karachi,Sindh,Brights Pink Rose Beauty Parlour Anda Mor Road Sector 14 B Shadman Town Karachi Sindh
Chand Medical Store,Norani Eidgah Road,Sector 11 G,North Karachi,Karachi,Sindh,Chand Medical Store Norani Eidgah Road Sector 11 G North Karachi Karachi Sindh
Classic Cosmetics & Garments Shop,Norani Eidgah Road,Sector 11 G,North Karachi,Karachi,Sindh,Classic Cosmetics & Garments Shop Norani Eidgah Road Sector 11 G North Karachi Karachi Sindh
Crispy Hut,Olympian Iftikhar Syed Road,Block 3,Gulshan e Iqbal,Karachi,Sindh,Crispy Hut Olympian Iftikhar Syed Road Block 3 Gulshan e Iqbal Karachi Sindh
Dastagir Woodworks,Syed Altaf Ali Brelvi Road,Block 5,Liaquatabad,Karachi,Sindh,Dastagir Woodworks Syed Altaf Ali Brelvi Road Block 5 Liaquatabad Karachi Sindh
Dehli Saeed Hotel,Naqash Kazmi Road,Block 3,Gulshan e Iqbal,Karachi,Sindh,Dehli Saeed Hotel Naqash Kazmi Road Block 3 Gulshan e Iqbal Karachi Sindh
Dulal & Rose Pakwan & Bar BQ Center,Quba Masjid Road,Rafah e Aam Society,Shah Faisal Town,Karachi,Sindh,Dulal & Rose Pakwan & Bar BQ Center Quba Masjid Road Rafah e Aam Society Shah Faisal Town Karachi Sindh
Food Mela Hotel,Cantt Bazar Road,Drigh Colony,Shah Faisal Town,Karachi,Sindh,Food Mela Hotel Cantt Bazar Road Drigh Colony Shah Faisal Town Karachi Sindh
Farhan Autos,Bearing Street,C Area,Liaquatabad,Karachi,Sindh,Farhan Autos Bearing Street C Area Liaquatabad Karachi Sindh
Family Medical Store,48th Street,C Area,Liaquatabad,Karachi,Sindh,Family Medical Store 48th Street C Area Liaquatabad Karachi Sindh
Haji Iqbal Concrete Block Work,UDMC Road,Sector 31 D,Korangi,Karachi,Sindh,Haji Iqbal Concrete Block Work UDMC Road Sector 31 D Korangi Karachi Sindh
Haris Steel Shop,Manghopir Road,Sector 5 A 2,New Karachi,Karachi,Sindh,Haris Steel Shop Manghopir Road Sector 5 A 2 New Karachi Karachi Sindh
Haji Shahabuddin Scissor Works,Bahadur Ali Road,Sector 5 E,New Karachi,Karachi,Sindh,Haji Shahabuddin Scissor Works Bahadur Ali Road Sector 5 E New Karachi Karachi Sindh
Hussaini Auto Parts,Sehba Akhtar Road,Block 13 D 3,Gulshan e Iqbal,Karachi,Sindh,Hussaini Auto Parts Sehba Akhtar Road Block 13 D 3 Gulshan e Iqbal Karachi Sindh
Iqbal General Store,Naseer Hussain Road,Sector 5 A 4,New Karachi,Karachi,Sindh,Iqbal General Store Naseer Hussain Road Sector 5 A 4 New Karachi Karachi Sindh
Irshad Engineering Works,Maulana Zafar Ahmad Ansari Road,Sector 11 F,North Karachi,Karachi,Sindh,Irshad Engineering Works Maulana Zafar Ahmad Ansari Road Sector 11 F North Karachi Karachi Sindh
Jahanzaib Dental & Medical Store,Khalil Ahmed Sabri Road,Shah Faisal Colony 3,Shah Faisal Town,Karachi,Sindh,Jahanzaib Dental & Medical Store Khalil Ahmed Sabri Road Shah Faisal Colony 3 Shah Faisal Town Karachi Sindh
Khalid Mughal Sofa Makers,Pehlwan Goth Road,Block 9 A,Bhittaiabad,Karachi,Sindh,Khalid Mughal Sofa Makers Pehlwan Goth Road Block 9 A Bhittaiabad Karachi Sindh
Urooj KK Autos,Railway Phatak Road,Drigh Colony,Shah Faisal Town,Karachi,Sindh,Urooj KK Autos Railway Phatak Road Drigh Colony Shah Faisal Town Karachi Sindh
Madni Marketing Builders & Developers,City Bakery Street,Block 17,Gulistan e Jauhar,Karachi,Sindh,Madni Marketing Builders & Developers City Bakery Street Block 17 Gulistan e Jauhar Karachi Sindh
Maham's Beauty Parlour Training Center,University Road,Block 13 A,Gulshan e Iqbal,Karachi,Sindh,Maham's Beauty Parlour Training Center University Road Block 13 A Gulshan e Iqbal Karachi Sindh
Mahtab Estate Agency,Rafah e Aam Pk Road,Al Falah Society,Shah Faisal Town,Karachi,Sindh,Mahtab Estate Agency Rafah e Aam Pk Road Al Falah Society Shah Faisal Town Karachi Sindh
Mama Autos,Korangi No.2.5 Road,Sector 48 F,Korangi,Karachi,Sindh,Mama Autos Korangi No.2.5 Road Sector 48 F Korangi Karachi Sindh
Mashallah Autos & Electrician,Naseer ul Haq Road,Sector 11 E,North Karachi,Karachi,Sindh,Mashallah Autos & Electrician Naseer ul Haq Road Sector 11 E North Karachi Karachi Sindh
Modern Hair Style Salon,Hakeem Ibn e Sina Road,Nazimabad No 3,Nazimabad,Karachi,Sindh,Modern Hair Style Salon Hakeem Ibn e Sina Road Nazimabad No 3 Nazimabad Karachi Sindh
Meo Brothers Milk Shop,Jauhar Road,Block 18,Gulistan e Jauhar,Karachi,Sindh,Meo Brothers Milk Shop Jauhar Road Block 18 Gulistan e Jauhar Karachi Sindh
Muhammadi Electronics,Shah Faisal-Korangi Link,Azeempura,Shah Faisal Town,Karachi,Sindh,Muhammadi Electronics Shah Faisal-Korangi Link Azeempura Shah Faisal Town Karachi Sindh
New Al Habib General Store,Aligarh Road,Sector 7 A,Orangi,Karachi,Sindh,New Al Habib General Store Aligarh Road Sector 7 A Orangi Karachi Sindh
New Ali Jan Autos Electrician,Shahrah e Maulana Shaukat Ali,Sector 5 D,New Karachi,Karachi,Sindh,New Ali Jan Autos Electrician Shahrah e Maulana Shaukat Ali Sector 5 D New Karachi Karachi Sindh
New Bismillah Electronics,Abbasia Masjid Road,Colony 4,Shah Faisal Town,Karachi,Sindh,New Bismillah Electronics Abbasia Masjid Road Colony 4 Shah Faisal Town Karachi Sindh
New Al Noor Jewellers,SM Taufiq Road,Block 6,Liaquatabad,Karachi,Sindh,New Al Noor Jewellers SM Taufiq Road Block 6 Liaquatabad Karachi Sindh
New Quetta Jeddah Hotel,Pehlwan Goth Road,Block 12,Gulistan e Jauhar,Karachi,Sindh,New Quetta Jeddah Hotel Pehlwan Goth Road Block 12 Gulistan e Jauhar Karachi Sindh
Noorani Gul Bahar Haleem House,Street Number 4,Sector 10,Hanifabad,Karachi,Sindh,Noorani Gul Bahar Haleem House Street Number 4 Sector 10 Hanifabad Karachi Sindh
Red Rose Comm,D1 Road,Khokhrapar 2,Khokhrapar,Karachi,Sindh,Red Rose Comm D1 Road Khokhrapar 2 Khokhrapar Karachi Sindh
S Akhlaq General Store,39th Street,Block 6,Liaquatabad,Karachi,Sindh,S Akhlaq General Store 39th Street Block 6 Liaquatabad Karachi Sindh
Sajid Autos,Al-Amna Avenue,Sector 3,New Karachi,Karachi,Sindh,Sajid Autos Al-Amna Avenue Sector 3 New Karachi Karachi Sindh
Sattar Awan Ironworks,Kiran Hospital Road,Sector 34 A,Gulzar e Hijri Scheme 33,Karachi,Sindh,Sattar Awan Ironworks Kiran Hospital Road Sector 34 A Gulzar e Hijri Scheme 33 Karachi Sindh
Scorporationions Pharmacy & General Store,Al-Amna Avenue,Sector 11 B,North Karachi,Karachi,Sindh,Scorporationions Pharmacy & General Store Al-Amna Avenue Sector 11 B North Karachi Karachi Sindh
Shadi Mubarak Photo Studio,Muhammadi Road,Sector 34/2,Korangi,Karachi,Sindh,Shadi Mubarak Photo Studio Muhammadi Road Sector 34/2 Korangi Karachi Sindh
Shah Estate Agency,Street 9,Sector 5 L,New Karachi,Karachi,Sindh,Shah Estate Agency Street 9 Sector 5 L New Karachi Karachi Sindh
Shah Jee Tailors,Green Town Pather Road,Green Town,Shah Faisal Town,Karachi,Sindh,Shah Jee Tailors Green Town Pather Road Green Town Shah Faisal Town Karachi Sindh
Sundar Photo & Colour Lab,Rafah e Aam Pk Road,Rafah e Aam Society,Shah Faisal Town,Karachi,Sindh,Sundar Photo & Colour Lab Rafah e Aam Pk Road Rafah e Aam Society Shah Faisal Town Karachi Sindh
Tabish General Store,New Iqbalabad Drigh Road,Drigh Colony,Shah Faisal Town,Karachi,Sindh,Tabish General Store New Iqbalabad Drigh Road Drigh Colony Shah Faisal Town Karachi Sindh
Tanveer Autos,Syed Altaf Ali Brelvi Road,C Area,Liaquatabad,Karachi,Sindh,Tanveer Autos Syed Altaf Ali Brelvi Road C Area Liaquatabad Karachi Sindh
Tawakkal Chicken Center,Shahrah e Maulana Shaukat Ali,Sector 11 F,North Karachi,Karachi,Sindh,Tawakkal Chicken Center Shahrah e Maulana Shaukat Ali Sector 11 F North Karachi Karachi Sindh
Tyre Puncture Shop,Shadman No 2 Road,Sector 14 B,Shadman Town,Karachi,Sindh,Tyre Puncture Shop Shadman No 2 Road Sector 14 B Shadman Town Karachi Sindh
Wasim Glassworks,"Rafah e Aam Society Road
",Shamsi Society,Shah Faisal Town,Karachi,Sindh,"Wasim Glassworks Rafah e Aam Society Road
 Shamsi Society Shah Faisal Town Karachi Sindh"
White Rose Dry Cleaners,Anum Uzair Shaheed Road,Block 13 B,Gulshan e Iqbal,Karachi,Sindh,White Rose Dry Cleaners Anum Uzair Shaheed Road Block 13 B Gulshan e Iqbal Karachi Sindh
Younus Kaj Button & Overlock Center,Qatar Hospital Road,Sector 8,Orangi,Karachi,Sindh,Younus Kaj Button & Overlock Center Qatar Hospital Road Sector 8 Orangi Karachi Sindh
AS Comm,Sadiq Hussain Avenue,Sector X,Gulshan e Maymar,Karachi,Sindh,AS Comm Sadiq Hussain Avenue Sector X Gulshan e Maymar Karachi Sindh
Abdul Ghafoor & Abdul Jabbar Sweets,Landhi Road,Sector 36 E,Landhi,Karachi,Sindh,Abdul Ghafoor & Abdul Jabbar Sweets Landhi Road Sector 36 E Landhi Karachi Sindh
Akbar Hairdresser,Metrovil Road,Sector 3,Sindh Industrial Trading Estate (SITE),Karachi,Sindh,Akbar Hairdresser Metrovil Road Sector 3 Sindh Industrial Trading Estate (SITE) Karachi Sindh
Al Hassan Digital Colour Lab & Studio,Metrovil Road,Sector 8 B,Sindh Industrial Trading Estate (SITE),Karachi,Sindh,Al Hassan Digital Colour Lab & Studio Metrovil Road Sector 8 B Sindh Industrial Trading Estate (SITE) Karachi Sindh
Al Sadaat Hardware & Plastic Store,Mehmoodabad Road,Block 8,KAECHS,Karachi,Sindh,Al Sadaat Hardware & Plastic Store Mehmoodabad Road Block 8 KAECHS Karachi Sindh
B & B Computers Service,Saeedabad Road,Sector 9 C,Baldia,Karachi,Sindh,B & B Computers Service Saeedabad Road Sector 9 C Baldia Karachi Sindh
Bismillah Electrician,Sami Dehalvi Shaheed Road,Sector 5 E,New Karachi,Karachi,Sindh,Bismillah Electrician Sami Dehalvi Shaheed Road Sector 5 E New Karachi Karachi Sindh
Homeo Clinic,Masjid Aqsa Road,Block 15,Federal B Area (Gulberg),Karachi,Sindh,Homeo Clinic Masjid Aqsa Road Block 15 Federal B Area (Gulberg) Karachi Sindh
Bismillah Pakwan & Liaquat Bawarchi,Talha Awan Road,Sector 5 J,Sector 5,Karachi,Sindh,Bismillah Pakwan & Liaquat Bawarchi Talha Awan Road Sector 5 J Sector 5 Karachi Sindh
Cafe Rasheed,Landhi Industrial Area Road,Firdous Chali Landhi Town,Landhi,Karachi,Sindh,Cafe Rasheed Landhi Industrial Area Road Firdous Chali Landhi Town Landhi Karachi Sindh
Cool Cape Refrigerator Services,Qamar Ali Abbasi Road,Block 14,Gulshan e Iqbal,Karachi,Sindh,Cool Cape Refrigerator Services Qamar Ali Abbasi Road Block 14 Gulshan e Iqbal Karachi Sindh
Data Chicken Biryani,Landhi Road,Sector 37 C,Landhi,Karachi,Sindh,Data Chicken Biryani Landhi Road Sector 37 C Landhi Karachi Sindh
Farid General Store,Kachi Abadi Street,Tekri Colony,Bath Island,Karachi,Sindh,Farid General Store Kachi Abadi Street Tekri Colony Bath Island Karachi Sindh
H&H Fashion Tailors,Muhammad Ali Road,Sector Z,Gulshan e Maymar,Karachi,Sindh,H&H Fashion Tailors Muhammad Ali Road Sector Z Gulshan e Maymar Karachi Sindh
Hi Tech Photo Studio,Landhi Road,Sector 36 E,Landhi,Karachi,Sindh,Hi Tech Photo Studio Landhi Road Sector 36 E Landhi Karachi Sindh
Ika Estate Agency,Khawaja Shamsuddin Azeemi Road,Sector 4 A,Surjani Town,Karachi,Sindh,Ika Estate Agency Khawaja Shamsuddin Azeemi Road Sector 4 A Surjani Town Karachi Sindh
Masjid Ameer e Hamza,Landhi Road,Moinabad 1&2,Landhi Industrial Area,Karachi,Sindh,Masjid Ameer e Hamza Landhi Road Moinabad 1&2 Landhi Industrial Area Karachi Sindh
